Premise_ID,Argument_ID,annotator,persuasiveness,changeability,premise_agreement,Group_ID
cuelmx,extmcuc,group-17_person-1,3,5,1,17
cuwm5n,exzyh96,group-17_person-0,3,3,4,17
cuwm5n,exzyh96,group-17_person-1,5,5,4,17
cvchju,eypaowa,group-17_person-0,3,5,4,17
cvchju,eypaowa,group-17_person-1,3,5,4,17
cx4llq,eyj5pil,group-17_person-0,3,4,5,17
cx4llq,eyj5pil,group-17_person-1,5,5,5,17
cyg0aa,eyum1uk,group-17_person-0,2,3,1,17
cyg0aa,eyum1uk,group-17_person-1,2,2,1,17
cz4ojj,eyvzl2e,group-17_person-0,1,2,3,17
cz4ojj,eyvzl2e,group-17_person-1,1,1,2,17
czkuva,eyz1es9,group-17_person-0,1,1,2,17
czkuva,eyz1es9,group-17_person-1,2,4,2,17
d1jc76,ezndgo5,group-17_person-0,1,3,3,17
d1jc76,ezndgo5,group-17_person-1,5,3,6,17
d33jei,f00ojpl,group-17_person-0,4,1,2,17
d33jei,f00ojpl,group-17_person-1,4,1,6,17
d5nps3,f0n08fp,group-17_person-0,3,3,3,17
d5nps3,f0n08fp,group-17_person-1,3,3,3,17
d61lx3,f0p9ebv,group-17_person-0,4,4,3,17
d61lx3,f0p9ebv,group-17_person-1,4,5,4,17
dag5af,f1pfitx,group-17_person-0,3,5,4,17
dag5af,f1pfitx,group-17_person-1,3,5,4,17
dbvl6e,f24bgbw,group-17_person-0,2,5,4,17
dbvl6e,f24bgbw,group-17_person-1,3,5,5,17
dceu7w,f28jflv,group-17_person-0,2,3,1,17
dceu7w,f28jflv,group-17_person-1,3,3,6,17
dfz39r,f37qge1,group-17_person-0,1,1,3,17
dfz39r,f37qge1,group-17_person-1,4,1,2,17
dgl6mc,f3efg0f,group-17_person-0,2,3,1,17
dgl6mc,f3efg0f,group-17_person-1,2,2,4,17
dgzcw3,f3gpbl7,group-17_person-0,2,3,3,17
dgzcw3,f3gpbl7,group-17_person-1,1,5,3,17
dipy8i,f3yabhp,group-17_person-0,4,3,4,17
dipy8i,f3yabhp,group-17_person-1,5,5,4,17
dj91n7,f42f6cl,group-17_person-0,3,4,2,17
dj91n7,f42f6cl,group-17_person-1,3,4,2,17
djslxz,f4aoync,group-17_person-0,5,5,4,17
djslxz,f4aoync,group-17_person-1,5,5,4,17
dmzmqp,f57lgej,group-17_person-0,4,3,2,17
dmzmqp,f57lgej,group-17_person-1,4,3,2,17
dnbdyf,f5bar53,group-17_person-0,2,1,1,17
dnbdyf,f5bar53,group-17_person-1,1,1,1,17
dryaqb,f6lrytx,group-17_person-0,1,2,1,17
dryaqb,f6lrytx,group-17_person-1,1,1,1,17
dsgobj,f6qx4ia,group-17_person-0,3,4,1,17
dsgobj,f6qx4ia,group-17_person-1,1,5,2,17
dux37d,f79g6tt,group-17_person-0,3,4,3,17
dux37d,f79g6tt,group-17_person-1,5,5,3,17
dzhxnq,f87lxvg,group-17_person-0,2,3,2,17
dzhxnq,f87lxvg,group-17_person-1,2,3,2,17
e1hs4a,f8p8gpa,group-17_person-0,3,1,1,17
e1hs4a,f8p8gpa,group-17_person-1,5,5,2,17
e3y2za,f96jn8n,group-17_person-0,1,2,2,17
e3y2za,f96jn8n,group-17_person-1,3,2,3,17
e3zj9d,f95umjo,group-17_person-0,3,1,1,17
e3zj9d,f95umjo,group-17_person-1,2,4,2,17
e83m13,fa90za1,group-17_person-0,4,3,3,17
e83m13,fa90za1,group-17_person-1,4,3,3,17
e9ufti,famcf54,group-17_person-0,4,1,2,17
e9ufti,famcf54,group-17_person-1,4,5,4,17
eca4fz,fbex9n7,group-17_person-0,3,3,3,17
eca4fz,fbex9n7,group-17_person-1,3,3,3,17
ecrvv4,fbj5co0,group-17_person-0,2,2,2,17
ecrvv4,fbj5co0,group-17_person-1,1,5,6,17
ehh29n,fcjbgj2,group-17_person-0,1,1,3,17
ehh29n,fcjbgj2,group-17_person-1,2,3,4,17
em3xjw,fdnpp2d,group-17_person-0,1,1,1,17
em3xjw,fdnpp2d,group-17_person-1,1,1,6,17
emc9pf,fdnn0ax,group-17_person-0,2,2,1,17
emc9pf,fdnn0ax,group-17_person-1,3,4,3,17
engx6o,fdzutq4,group-17_person-0,3,4,3,17
engx6o,fdzutq4,group-17_person-1,5,4,3,17
er8vjp,ff2cfcl,group-17_person-0,1,3,6,17
er8vjp,ff2cfcl,group-17_person-1,3,3,6,17
erqe6f,ff5r4in,group-17_person-0,2,3,3,17
erqe6f,ff5r4in,group-17_person-1,4,4,3,17
f1ktw3,fh6xrw5,group-17_person-0,2,3,6,17
f1ktw3,fh6xrw5,group-17_person-1,1,3,5,17
f1u97u,fh8gter,group-17_person-0,3,2,1,17
f1u97u,fh8gter,group-17_person-1,2,2,2,17
f1waox,fh8vfaj,group-17_person-0,4,2,3,17
f1waox,fh8vfaj,group-17_person-1,5,2,6,17
f3vtxt,fhog2tm,group-17_person-0,2,1,4,17
f3vtxt,fhog2tm,group-17_person-1,5,5,6,17
f46qgm,fhpdgu6,group-17_person-0,3,5,4,17
f46qgm,fhpdgu6,group-17_person-1,3,5,4,17
f4a79h,fhp47w9,group-17_person-0,4,3,4,17
f4a79h,fhp47w9,group-17_person-1,5,5,4,17
f7wa0m,fihjvtn,group-17_person-0,5,1,1,17
f7wa0m,fihjvtn,group-17_person-1,5,1,4,17
f8pm97,fioyggs,group-17_person-0,2,3,3,17
f8pm97,fioyggs,group-17_person-1,2,3,3,17
fa48dk,fivsnt4,group-17_person-0,3,1,4,17
fa48dk,fivsnt4,group-17_person-1,5,3,6,17
g04jh0,fn84hut,group-17_person-0,1,1,5,17
g04jh0,fn84hut,group-17_person-1,2,3,6,17
g0kd1i,fnam0fi,group-17_person-0,2,1,3,17
g0kd1i,fnam0fi,group-17_person-1,2,1,2,17
g0ofyl,fnatbkd,group-17_person-0,2,3,1,17
g0ofyl,fnatbkd,group-17_person-1,2,3,4,17
g2agom,fnl0st7,group-17_person-0,1,2,3,17
g2agom,fnl0st7,group-17_person-1,5,1,6,17
g3vh7n,fnuk2vx,group-17_person-0,3,4,3,17
g3vh7n,fnuk2vx,group-17_person-1,5,4,3,17
g7vuxd,fok7pj1,group-17_person-0,1,3,3,17
g7vuxd,fok7pj1,group-17_person-1,4,3,3,17
g9ahl9,fotuyp7,group-17_person-0,3,3,1,17
g9ahl9,fotuyp7,group-17_person-1,4,5,6,17
gaicru,fp1fqn4,group-17_person-0,3,1,1,17
gaicru,fp6afbf,group-17_person-0,2,1,2,17
gaicru,fp1fqn4,group-17_person-1,3,2,3,17
gaicru,fp6afbf,group-17_person-1,2,5,1,17
gaojzf,fp18gp9,group-17_person-0,1,2,1,17
gaojzf,fp18gp9,group-17_person-1,2,2,2,17
gattcf,fp3vq0m,group-17_person-0,2,1,1,17
gattcf,fp3vq0m,group-17_person-1,2,1,1,17
gawo7c,fp29hmg,group-17_person-0,1,1,1,17
gawo7c,fp29hmg,group-17_person-1,1,5,1,17
gb15pi,fp37ddl,group-17_person-0,1,2,1,17
gb15pi,fp37ddl,group-17_person-1,3,1,1,17
gb2k39,fpbx4b0,group-17_person-0,1,1,2,17
gb2k39,fpbx4b0,group-17_person-1,1,5,1,17
gb49j5,fp3nsmh,group-17_person-0,3,3,3,17
gb49j5,fp3nsmh,group-17_person-1,3,3,3,17
gcbhyo,fpbcgzt,group-17_person-0,2,3,4,17
gcbhyo,fpbcgzt,group-17_person-1,2,3,4,17
gcwl9v,fpedvth,group-17_person-0,3,1,3,17
gcwl9v,fpedvth,group-17_person-1,3,2,3,17
gek0x9,fpo8zor,group-17_person-0,3,4,1,17
gek0x9,fpo8zor,group-17_person-1,4,5,6,17
geq581,fpowha6,group-17_person-0,3,2,3,17
geq581,fpowha6,group-17_person-1,3,1,6,17
gkq9oo,fqteda0,group-17_person-0,3,1,2,17
gkq9oo,fqteda0,group-17_person-1,3,2,3,17
gl4x1j,fqwkfdc,group-17_person-0,1,4,2,17
gl4x1j,fqwkfdc,group-17_person-1,5,4,6,17
gmkxos,fr7k8aw,group-17_person-0,1,1,2,17
gmkxos,fr7k8aw,group-17_person-1,1,2,1,17
gqh6zx,frsra91,group-17_person-0,4,4,3,17
gqh6zx,frsra91,group-17_person-1,4,5,6,17
grbo5f,frzt09r,group-17_person-0,2,4,3,17
grbo5f,frzt09r,group-17_person-1,2,4,3,17
gsanwb,fs3zack,group-17_person-0,1,4,1,17
gsanwb,fs3zack,group-17_person-1,5,4,1,17
gti624,fsbsis7,group-17_person-0,1,1,1,17
gti624,fsbsis7,group-17_person-1,1,1,1,17
gtqx7f,fsdrs9m,group-17_person-0,2,1,1,17
gtqx7f,fsdrs9m,group-17_person-1,2,3,2,17
gufgjc,fsi7jlo,group-17_person-0,3,4,3,17
gufgjc,fsi7jlo,group-17_person-1,3,4,3,17
gvxwvk,fsrnck5,group-17_person-0,1,1,6,17
gvxwvk,fsrnck5,group-17_person-1,5,5,4,17
gwbdk2,fsu9x5v,group-17_person-0,2,5,1,17
gwbdk2,fsu9x5v,group-17_person-1,5,5,2,17
gx7qlm,ft0b12c,group-17_person-0,3,5,1,17
gx7qlm,ft0b12c,group-17_person-1,4,5,6,17
gyipc2,ftbcjrl,group-17_person-0,4,1,1,17
gyipc2,ftbcjrl,group-17_person-1,4,3,6,17
gyvndf,fthy9p9,group-17_person-0,1,3,3,17
gyvndf,fthy9p9,group-17_person-1,4,3,4,17
gz6r4f,ftel48b,group-17_person-0,4,3,2,17
gz6r4f,ftel48b,group-17_person-1,5,5,2,17
gzprl6,fthqo5c,group-17_person-0,4,3,1,17
gzprl6,fthqo5c,group-17_person-1,4,3,2,17
gzxhte,ftizrb2,group-17_person-0,3,3,3,17
gzxhte,ftizrb2,group-17_person-1,3,3,3,17
h0epc4,ftlprg9,group-17_person-0,3,2,3,17
h0epc4,ftlprg9,group-17_person-1,3,2,3,17
h8gufw,fuveyq3,group-17_person-0,4,3,5,17
h8gufw,fuveyq3,group-17_person-1,5,3,6,17
h8mamc,furo6om,group-17_person-0,1,2,1,17
h8mamc,furo6om,group-17_person-1,2,2,1,17
h9ae5s,fvf3afo,group-17_person-0,2,4,3,17
h9ae5s,fvf3afo,group-17_person-1,2,4,3,17
ha24h2,fv09on0,group-17_person-0,2,4,4,17
ha24h2,fv09on0,group-17_person-1,2,5,4,17
hd7246,fvm3xxb,group-17_person-0,1,3,1,17
hd7246,fvm3xxb,group-17_person-1,5,5,6,17
hda9ww,fvk9pu7,group-17_person-0,1,2,1,17
hda9ww,fvk9pu7,group-17_person-1,3,4,2,17
hduuiq,fvq3bhs,group-17_person-0,1,4,1,17
hduuiq,fvq3bhs,group-17_person-1,1,4,1,17
heirw1,fvrh8zt,group-17_person-0,5,1,2,17
heirw1,fvrh8zt,group-17_person-1,5,1,2,17
hie9st,fwjz1t4,group-17_person-0,1,2,2,17
hie9st,fwjz1t4,group-17_person-1,5,2,1,17
hk8n8q,fwrakey,group-17_person-0,5,2,2,17
hk8n8q,fwrakey,group-17_person-1,5,2,1,17
hmsb4p,fx6zimm,group-17_person-0,3,3,1,17
hmsb4p,fx6zimm,group-17_person-1,5,3,6,17
hpfn4k,fxqh6rb,group-17_person-0,3,1,3,17
hpfn4k,fxqh6rb,group-17_person-1,5,2,6,17
hqmxvf,fxyzsy9,group-17_person-0,3,5,4,17
hqmxvf,fxyzsy9,group-17_person-1,5,4,4,17
hue34h,fynmw7g,group-17_person-0,2,1,1,17
hue34h,fynmw7g,group-17_person-1,5,1,1,17
hup28j,fyoxwq7,group-17_person-0,4,1,1,17
hup28j,fyoxwq7,group-17_person-1,5,4,4,17
hv6uk5,fyw5pc9,group-17_person-0,1,4,1,17
hv6uk5,fyw5pc9,group-17_person-1,2,4,3,17
hyfpzx,fzcewi1,group-17_person-0,1,4,1,17
hyfpzx,fzcewi1,group-17_person-1,2,4,3,17
i19rcz,fzwll21,group-17_person-0,1,4,3,17
i19rcz,fzwll21,group-17_person-1,3,5,4,17
ily9x5,g3w3n5c,group-17_person-0,4,4,4,17
ily9x5,g3w3n5c,group-17_person-1,4,4,4,17
imjj3v,g42b730,group-17_person-0,1,1,2,17
imjj3v,g42b730,group-17_person-1,1,3,2,17
io8zeh,g4rlh5r,group-17_person-0,1,1,1,17
io8zeh,g4rlh5r,group-17_person-1,1,5,2,17
iq2or7,g4pnw7b,group-17_person-0,2,1,2,17
iq2or7,g4pnw7b,group-17_person-1,1,5,2,17
iq41dt,g4siy3w,group-17_person-0,1,2,2,17
iq41dt,g4siy3w,group-17_person-1,4,2,6,17
iq577f,g4qhpse,group-17_person-0,5,3,3,17
iq577f,g4qhpse,group-17_person-1,5,4,4,17
is0qz4,g594kqz,group-17_person-0,3,3,2,17
is0qz4,g594kqz,group-17_person-1,3,1,5,17
is6puy,g55vm2t,group-17_person-0,2,2,2,17
is6puy,g55vm2t,group-17_person-1,2,2,2,17
iv667r,g5pbkwg,group-17_person-0,1,1,3,17
iv667r,g5pbkwg,group-17_person-1,1,4,6,17
ix6epe,g6577kf,group-17_person-0,2,1,3,17
ix6epe,g6577kf,group-17_person-1,1,4,6,17
j3gj60,g7bsu9s,group-17_person-0,2,2,1,17
j3gj60,g7bsu9s,group-17_person-1,1,2,1,17
j4vskc,g7r8hmu,group-17_person-0,2,3,2,17
j4vskc,g7r8hmu,group-17_person-1,1,3,2,17
j57eg6,g7qacjx,group-17_person-0,1,2,3,17
j57eg6,g7qacjx,group-17_person-1,5,3,5,17
j5vv3w,g7unxzr,group-17_person-0,3,1,1,17
j5vv3w,g7unxzr,group-17_person-1,3,2,4,17
j6s5xb,g80ci7g,group-17_person-0,1,1,1,17
j6s5xb,g80ci7g,group-17_person-1,3,2,1,17
j7kjei,g859b4d,group-17_person-0,1,1,1,17
j7kjei,g859b4d,group-17_person-1,3,1,1,17
j80v4e,g88fzd2,group-17_person-0,3,1,1,17
j80v4e,g88fzd2,group-17_person-1,4,5,3,17
j9afp8,g8ootxl,group-17_person-0,2,1,2,17
j9afp8,g8ootxl,group-17_person-1,5,3,5,17
jax23c,g8s70n3,group-17_person-0,1,1,2,17
jax23c,g8s70n3,group-17_person-1,2,2,4,17
jbcisu,g8woq19,group-17_person-0,4,3,4,17
jbcisu,g8woq19,group-17_person-1,4,3,4,17
jbdzy6,g8wghus,group-17_person-0,3,5,1,17
jbdzy6,g8wghus,group-17_person-1,2,5,3,17
jcrjkl,g96z0j5,group-17_person-0,1,1,2,17
jcrjkl,g96z0j5,group-17_person-1,2,2,3,17
jd1udl,g94yzka,group-17_person-0,1,3,2,17
jd1udl,g94yzka,group-17_person-1,2,3,2,17
jdehsd,gk5ybr5,group-17_person-0,2,1,3,17
jdehsd,gk5ybr5,group-17_person-1,5,2,6,17
je1nvb,g9caay0,group-17_person-0,2,1,3,17
je1nvb,g9caay0,group-17_person-1,5,1,4,17
jfz65t,g9nl9es,group-17_person-0,2,1,3,17
jfz65t,g9nl9es,group-17_person-1,5,5,3,17
jit181,ga9ndwv,group-17_person-0,3,1,2,17
jit181,ga9ndwv,group-17_person-1,3,5,1,17
jlo5pi,gas9ovg,group-17_person-0,3,4,3,17
jlo5pi,gas9ovg,group-17_person-1,3,4,3,17
jngf14,gb4icmh,group-17_person-0,4,1,1,17
jngf14,gb4icmh,group-17_person-1,5,1,1,17
johrhr,gb80tel,group-17_person-0,3,3,3,17
johrhr,gb80tel,group-17_person-1,5,5,3,17
joktkg,gb8kwa2,group-17_person-0,2,2,3,17
joktkg,gb8kwa2,group-17_person-1,2,2,3,17
jpuv64,gbhlkyd,group-17_person-0,3,1,2,17
jpuv64,gbhlkyd,group-17_person-1,5,5,2,17
jrelsp,gbsu3u9,group-17_person-0,4,3,3,17
jrelsp,gbsu3u9,group-17_person-1,4,4,3,17
jty6af,gc9pycj,group-17_person-0,1,1,1,17
jty6af,gc9pycj,group-17_person-1,1,2,3,17
ju0edm,gc8tfco,group-17_person-0,4,3,5,17
ju0edm,gc8tfco,group-17_person-1,5,3,6,17
juct1n,gcee6bi,group-17_person-0,1,3,1,17
juct1n,gcee6bi,group-17_person-1,2,2,2,17
jwl8j4,gct51yo,group-17_person-0,3,3,1,17
jwl8j4,gct6jpm,group-17_person-0,3,2,3,17
jwl8j4,gct51yo,group-17_person-1,3,5,1,17
jwl8j4,gct6jpm,group-17_person-1,3,5,5,17
jwuvf2,gdbrrsa,group-17_person-0,1,2,4,17
jwuvf2,gdbrrsa,group-17_person-1,3,4,4,17
jxbnlo,gcvmvho,group-17_person-0,2,2,2,17
jxbnlo,gcvmvho,group-17_person-1,1,2,2,17
jzve58,gdha7xr,group-17_person-0,2,2,2,17
jzve58,gdha7xr,group-17_person-1,2,1,2,17
k0yjd7,gdl29u7,group-17_person-0,2,5,1,17
k0yjd7,gdl29u7,group-17_person-1,1,5,4,17
k2jmfg,gdupsic,group-17_person-0,1,2,2,17
k2jmfg,gdupsic,group-17_person-1,1,1,2,17
k661eb,gej2ux5,group-17_person-0,4,3,4,17
k661eb,gej2ux5,group-17_person-1,5,3,4,17
k86o9i,gewdvnt,group-17_person-0,1,2,1,17
k86o9i,gewdvnt,group-17_person-1,1,2,1,17
k8kbg7,gez88no,group-17_person-0,2,3,3,17
k8kbg7,gez88no,group-17_person-1,2,4,3,17
k8rywp,gobj7xi,group-17_person-0,1,2,6,17
k8rywp,gobj7xi,group-17_person-1,1,1,4,17
k9hspw,gf4ksku,group-17_person-0,5,5,5,17
k9hspw,gf4ksku,group-17_person-1,4,5,6,17
kg0imj,gge1nrr,group-17_person-0,3,5,3,17
kg0imj,gge1nrr,group-17_person-1,3,5,4,17
kgyubp,ggi2esg,group-17_person-0,3,1,3,17
kgyubp,ggi2esg,group-17_person-1,3,5,6,17
kk6cud,gh3kv17,group-17_person-0,5,1,2,17
kk6cud,gh3kv17,group-17_person-1,5,1,2,17
kkcphn,gh262u2,group-17_person-0,3,3,3,17
kkcphn,gh262u2,group-17_person-1,3,5,6,17
kkiws7,gh2rafu,group-17_person-0,3,4,3,17
kkiws7,gh2rafu,group-17_person-1,5,4,3,17
kkwq7i,gh6ykrb,group-17_person-0,1,2,3,17
kkwq7i,gh6ykrb,group-17_person-1,1,3,1,17
kky50u,gh6lm4k,group-17_person-0,2,5,3,17
kky50u,gh6lm4k,group-17_person-1,4,5,4,17
knplpj,ghlsget,group-17_person-0,3,1,3,17
knplpj,ghmhl88,group-17_person-0,3,3,2,17
knplpj,ghlsget,group-17_person-1,5,4,4,17
knplpj,ghmhl88,group-17_person-1,5,5,2,17
kozh32,ghu1ho8,group-17_person-0,2,2,3,17
kozh32,ghu1ho8,group-17_person-1,2,5,3,17
krc0t0,gica4er,group-17_person-0,2,3,2,17
krc0t0,gica4er,group-17_person-1,2,3,2,17
krvcr0,gkpwe35,group-17_person-0,3,1,1,17
krvcr0,gkpwe35,group-17_person-1,3,1,5,17
ksk1zi,gigrcqz,group-17_person-0,1,1,1,17
ksk1zi,gigrcqz,group-17_person-1,1,1,6,17
ksp9qa,giiiw7u,group-17_person-0,4,1,4,17
ksp9qa,giiiw7u,group-17_person-1,4,4,4,17
kyqowe,gji3sgo,group-17_person-0,5,3,3,17
kyqowe,gji3sgo,group-17_person-1,5,4,6,17
l03bwp,gjupdpd,group-17_person-0,1,1,2,17
l03bwp,gjupdpd,group-17_person-1,2,1,1,17
l164lc,gjxw5f4,group-17_person-0,3,2,2,17
l164lc,gjxw5f4,group-17_person-1,3,2,2,17
l297g6,gk78rqb,group-17_person-0,3,3,1,17
l297g6,gk45wrj,group-17_person-0,2,2,2,17
l297g6,gk78rqb,group-17_person-1,5,5,4,17
l297g6,gk45wrj,group-17_person-1,2,2,2,17
l4br38,gknlghb,group-17_person-0,3,5,1,17
l4br38,gknlghb,group-17_person-1,4,5,3,17
l5x5ke,gkx2jvz,group-17_person-0,4,3,4,17
l5x5ke,gkx2jvz,group-17_person-1,4,5,4,17
l6vq4r,gl2za6d,group-17_person-0,4,3,3,17
l6vq4r,gl2za6d,group-17_person-1,4,3,3,17
l8fp1m,glclzmw,group-17_person-0,1,2,2,17
l8fp1m,glclzmw,group-17_person-1,2,2,2,17
l8wfsb,glevgdz,group-17_person-0,2,4,2,17
l8wfsb,glevgdz,group-17_person-1,1,4,1,17
lbqam1,glwqxag,group-17_person-0,2,2,1,17
lbqam1,glvm2rg,group-17_person-0,1,3,1,17
lbqam1,glwqxag,group-17_person-1,3,2,3,17
lbqam1,glvm2rg,group-17_person-1,3,5,1,17
lcge08,glzrf6v,group-17_person-0,1,4,2,17
lcge08,glzrf6v,group-17_person-1,4,4,5,17
li2qqw,gn1fvts,group-17_person-0,5,5,4,17
li2qqw,gn1fvts,group-17_person-1,5,5,6,17
libc3g,gn2cen9,group-17_person-0,4,5,3,17
libc3g,gn2cen9,group-17_person-1,4,5,4,17
ljf0t6,gncbalp,group-17_person-0,2,2,2,17
ljf0t6,gncbalp,group-17_person-1,2,2,2,17
llqvsp,gnr0k6v,group-17_person-0,1,2,1,17
llqvsp,gnr0k6v,group-17_person-1,3,1,1,17
lpc799,godoj8z,group-17_person-0,4,3,4,17
lpc799,godoj8z,group-17_person-1,4,3,4,17
lptnk2,god5448,group-17_person-0,1,3,3,17
lptnk2,god5448,group-17_person-1,1,3,2,17
lqk6da,gohx7d7,group-17_person-0,2,3,2,17
lqk6da,gohx7d7,group-17_person-1,1,5,2,17
lslx0h,gqxvldp,group-17_person-0,1,2,3,17
lslx0h,gqxvldp,group-17_person-1,4,1,3,17
lx31hi,gpmrgm1,group-17_person-0,2,2,1,17
lx31hi,gpmrgm1,group-17_person-1,2,2,1,17
lzjili,gq3yy3y,group-17_person-0,3,3,1,17
lzjili,gq3yy3y,group-17_person-1,5,4,1,17
m0mmnr,gq9kn6j,group-17_person-0,2,3,3,17
m0mmnr,gq9kn6j,group-17_person-1,1,3,5,17
m0wj71,gqe1qxh,group-17_person-0,2,1,2,17
m0wj71,gqe1qxh,group-17_person-1,2,2,3,17
m1yzi3,gqg99sv,group-17_person-0,1,1,2,17
m1yzi3,gqg99sv,group-17_person-1,3,2,1,17
m2zr6x,gqm2qka,group-17_person-0,1,1,3,17
m2zr6x,gqm2qka,group-17_person-1,1,3,2,17
m5sgwy,gr2nzdg,group-17_person-0,1,1,3,17
m5sgwy,gr2nzdg,group-17_person-1,2,1,2,17
m6j48e,gr8b7e6,group-17_person-0,1,5,4,17
m6j48e,gr8b7e6,group-17_person-1,1,5,6,17
m6nlsz,gr6p17e,group-17_person-0,3,1,2,17
m6nlsz,gr6p17e,group-17_person-1,3,1,2,17
m6qmbn,gr8sb98,group-17_person-0,4,3,3,17
m6qmbn,gr8sb98,group-17_person-1,5,3,5,17
m84x8c,grfem6c,group-17_person-0,2,2,3,17
m84x8c,grfem6c,group-17_person-1,4,3,2,17
maoi81,gs8iydh,group-17_person-0,3,1,1,17
maoi81,gs8iydh,group-17_person-1,1,1,3,17
mbv533,gs08qf5,group-17_person-0,2,4,2,17
mbv533,gs08qf5,group-17_person-1,2,4,2,17
megmra,gsnwuv8,group-17_person-0,1,2,2,17
megmra,gsh6tya,group-17_person-0,2,4,1,17
megmra,gsnwuv8,group-17_person-1,2,2,1,17
megmra,gsh6tya,group-17_person-1,1,4,3,17
mg8bec,gsrzn1z,group-17_person-0,2,5,4,17
mg8bec,gsrzn1z,group-17_person-1,2,5,5,17
mglg30,gsva3p5,group-17_person-0,1,3,2,17
mglg30,gsva3p5,group-17_person-1,2,5,2,17
n339mo,gwpv7up,group-17_person-0,1,1,1,17
n339mo,gwpv7up,group-17_person-1,1,1,6,17
n46phb,gwu6cek,group-17_person-0,1,2,3,17
n46phb,gwu6cek,group-17_person-1,3,2,1,17
n4q1aa,gwwwhgy,group-17_person-0,1,2,1,17
n4q1aa,gwwwhgy,group-17_person-1,3,1,4,17
n9fucd,gxnjrtv,group-17_person-0,1,2,1,17
n9fucd,gxnjrtv,group-17_person-1,1,2,1,17
nbpymd,gy0s862,group-17_person-0,3,2,3,17
nbpymd,gy0s862,group-17_person-1,5,5,3,17
nbrg3f,gy1bwjy,group-17_person-0,2,1,1,17
nbrg3f,gy1bwjy,group-17_person-1,2,4,1,17
